0.7320180409116563 + 0.6401095986284723im
-1.2672050876238807 + 0.2565839964482524im
-1.1210780759771373 - 0.3941234699595812im
-1.1286609047312846 + 0.43261351624938044im
0.6611677176115787 + 0.8192792670658734im
0.19215114843735473 + 1.2061260712696995im
0.9519939895776457 + 0.44118537552354353im
-1.1743613945965665 - 0.011700966816745604im
0.6052511239489823 - 0.6525889801877576im
0.7219390415471494 + 0.7438178673928052im
-0.33257394312604244 + 0.42455696065859205im
-0.517792587533905 + 1.0398690586539268im
0.008199972869862808 + 1.1553643952963653im
0.36851610668586965 + 1.0524832801144424im
0.8060690826825574 + 0.9043455420134816im
0.8753869376755272 - 0.8265340209733976im
-1.2607624234046686 + 0.21363903133721554im
-0.621133369587705 + 1.0186272285619329im
0.2051113219783269 - 1.2357065372265674im
1.0529086676426984 - 0.6231460675914156im
-1.2151858499232995 - 0.004733069334142293im
-0.8685798335343051 + 0.8420932577990309im
-0.7751458736264011 + 0.7859234682985108im
1.1844471928920193 + 0.2744277264670488im
-0.46023762183155165 + 1.1167352784762614im
0.2298661764533537 + 1.1258673702825632im
-0.7560842716412755 + 0.9307714158039689im
-1.1962715286395589 + 0.1312863606695684im
1.0032760929159654 + 0.5616289239640074im
-1.048086227751834 + 0.5289465022104889im
-1.0677048351383707 - 0.4911063240486231im
-1.0460591203519691 - 0.707706030821445im
0.328499184952207 + 1.1328585829419293im
0.8508495661332753 - 0.4148485596686836im
-1.1354845361927801 + 0.510489925691707im
-0.7860218917811294 + 0.8313717803346508im
0.34089562419949426 + 1.1827251002541843im
-0.24294700903908292 - 1.0376045161529934im
0.48677801369446544 + 1.000099411094519im
0.8209415708321638 - 0.6770360816766133im
-0.7316144438343443 + 0.9520531031041544im
-0.24164911959763694 + 1.2193811835544244im
-1.089797458884395 - 0.515206701051925im
-1.0590626084165096 - 0.41678811828772394im
0.03438524014976412 + 1.184001912926961im
1.199776908548012 + 0.061590166290965954im
1.230948861460251 + 0.04743470638525301im
0.9027518270501397 + 0.30235945849827933im
0.7258918912298484 - 0.6992322952786532im
0.4989798214735077 + 0.6686456758124885im
0.9659252413082458 + 0.04572384419320902im
0.5647009753507377 + 1.0593579495924763im
-1.185242208524786 + 0.17441524379560872im
-0.49075123677227794 - 1.0825087051806697im
-0.6535817010365971 - 0.42014975704870167im
-0.8669779088760643 - 0.9138065494739088im
0.4146063320977342 - 0.7715935248937926im
1.0564407940858123 - 0.2029781208845001im
-1.1481417954890902 + 0.2082310931064833im
